id,observed_on,latitude,longitude,positional_accuracy,private_place_guess,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
38430714,2020-02-08,43.6407492096,-79.4625370535,22,,black cherry,Prunus serotina,野黑樱,Plantae,54834
38430773,2020-02-08,43.6407552658,-79.4625168618,22,,great mullein,Verbascum thapsus,毛蕊花,Plantae,59029
38430823,2020-02-08,43.6443275398,-79.4682144977,22,,cup plant,Silphium perfoliatum,串叶松香草,Plantae,81599
38441760,2020-02-08,43.63828333,-79.466675,10,,paper birch,Betula papyrifera,纸桦,Plantae,49883
38441838,2020-02-08,43.63801167,-79.46665333,22,,European reed,Phragmites australis australis,,Plantae,556361
38442242,2020-02-02,43.64823833,-79.470505,9,,American Black Duck,Anas rubripes,北美黑鸭,Aves,6924
38444870,2020-02-08,43.6449077465,-79.458915968,15,,Mourning Dove,Zenaida macroura,哀鸽,Aves,3454
38472041,2020-02-09,43.643045,-79.4680866667,,,eastern redcedar,Juniperus virginiana,北美圆柏,Plantae,49399
38475243,2020-02-09,43.65097,-79.4609916667,,,eastern hemlock,Tsuga canadensis,加拿大铁杉,Plantae,48734
38495551,2020-02-07,43.6341324263,-79.4674903919,1,,Diatoma vulgaris,Diatoma vulgaris,,Chromista,430064
38495556,2020-02-05,43.6341324263,-79.4674903919,1,,Diatoma elongata,Diatoma elongata,延长等片藻[存疑],Chromista,895698
38515322,2020-02-10,43.6510266814,-79.4658179948,8,,Eastern Gray Squirrel,Sciurus carolinensis,东美松鼠,Mammalia,46017
38516754,2020-02-10,43.6501324276,-79.4682270037,6,,paper birch,Betula papyrifera,纸桦,Plantae,49883
38517312,2020-02-10,43.6500863233,-79.4689412307,8,,northern red oak,Quercus rubra,北美红栎,Plantae,49005
38517631,2020-02-10,43.649435675,-79.4698244346,8,,Japanese yew,Taxus cuspidata,东北红豆杉,Plantae,133386
38517830,2020-02-10,43.6488633106,-79.4704938359,48,,Mallard,Anas platyrhynchos,绿头鸭,Aves,6930
38518251,2020-02-10,43.6485510043,-79.4709154933,12,,Domestic Duck,Anas platyrhynchos domesticus,家鸭,Aves,236935
38585100,2020-02-12,43.6470394946,-79.4670758,4,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
38585190,2020-02-12,43.6449229484,-79.468413245,8,,Sassafras,Sassafras albidum,北美檫樹,Plantae,54795
38585723,2020-02-12,43.6463290566,-79.4668157791,2,,Canada wild rye,Elymus canadensis,加拿大披碱草,Plantae,129000
38712808,2020-02-05,43.6412360372,-79.4697174064,75,,Coyote,Canis latrans,郊狼,Mammalia,42051
38712810,2020-02-08,43.6412360372,-79.4697174064,75,,House Finch,Haemorhous mexicanus,美洲家朱雀,Aves,199840
38712811,2020-02-15,43.6412360372,-79.4697174064,75,,Striped Skunk,Mephitis mephitis,条纹臭鼬,Mammalia,41880
38729002,2020-02-16,43.6341861097,-79.4667552953,75,,Greater Scaup,Aythya marila,斑背潜鸭,Aves,7047
38729003,2020-02-16,43.6341861097,-79.4667552953,75,,Common Goldeneye,Bucephala clangula,鹊鸭,Aves,6990
38729006,2020-02-16,43.6341861097,-79.4667552953,75,,Greater Scaup,Aythya marila,斑背潜鸭,Aves,7047
38729008,2020-02-16,43.6341861097,-79.4667552953,75,,American Black Duck,Anas rubripes,北美黑鸭,Aves,6924
38729009,2020-02-16,43.6341861097,-79.4667552953,75,,American Herring Gull,Larus smithsonianus,灰背鸥,Aves,1578489
38729010,2020-02-16,43.6341861097,-79.4667552953,75,,Red-breasted Merganser,Mergus serrator,红胸秋沙鸭,Aves,6996
38766957,2020-02-17,43.65083,-79.470855,16,,Coyote,Canis latrans,郊狼,Mammalia,42051
38785411,2020-02-10,43.651275,-79.4596866667,,,Cecropia Moth,Hyalophora cecropia,,Insecta,81582
38787338,2020-02-18,43.6420950393,-79.4571494169,38,,Wood Duck,Aix sponsa,林鸳鸯,Aves,7107
39093890,2020-02-23,43.6506912143,-79.4628097862,138,,Northern Cardinal,Cardinalis cardinalis,北美红雀,Aves,9083
39093893,2020-02-23,43.6538626826,-79.4720558009,,,garlic mustard,Alliaria petiolata,葱芥,Plantae,56061
39177458,2020-02-20,43.6520996921,-79.4900751114,61,,Great Blue Heron,Ardea herodias,大蓝鹭,Aves,4956
39321032,2020-02-28,43.6494237536,-79.4471236496,65,,Long-bodied Cellar Spider,Pholcus phalangioides,家幽灵蛛,Arachnida,67328
39428092,2020-02-28,43.6465479,-79.4636903,2248,,Feral Pigeon,Columba livia domestica,家鸽,Aves,122767
39673039,2020-03-07,43.6455721224,-79.4680953905,8,,White-breasted Nuthatch,Sitta carolinensis,白胸䴓,Aves,14801
39684427,2020-03-07,43.647975,-79.4706283333,,,Mallard,Anas platyrhynchos,绿头鸭,Aves,6930
39712079,2020-03-08,43.6474556945,-79.4702903836,8,,Great Blue Heron,Ardea herodias,大蓝鹭,Aves,4956
39713964,2020-03-08,43.64695574,-79.4651086315,1,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
39730379,2020-03-08,43.6478263667,-79.4617788121,9796,,Buse à queue rousse,Buteo jamaicensis,红尾鵟,Aves,5212
39784540,2020-03-07,43.6482722905,-79.4629085694,600,,White-breasted Nuthatch,Sitta carolinensis,白胸䴓,Aves,14801
39784740,2020-03-07,43.6471199903,-79.4636716674,290,,Eastern Gray Squirrel,Sciurus carolinensis,东美松鼠,Mammalia,46017
39784804,2020-01-01,43.6512453286,-79.4638522229,1445,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
39784922,2020-03-08,43.6410757611,-79.4554008543,116,,Hairy Woodpecker,Leuconotopicus villosus,多毛啄木鸟,Aves,1651487
39826482,2020-01-31,43.6507221551,-79.4672980671,40,,Coyote,Canis latrans,郊狼,Mammalia,42051
39876143,2020-03-09,43.6438881273,-79.4594904454,15,,Eastern Gray Squirrel,Sciurus carolinensis,东美松鼠,Mammalia,46017
39876144,2020-02-08,43.6438953067,-79.4674782898,8,,cup plant,Silphium perfoliatum,串叶松香草,Plantae,81599
39897256,2020-03-12,43.6518968888,-79.4913417846,20,,Mallard,Anas platyrhynchos,绿头鸭,Aves,6930
40001475,2020-03-14,43.646717657,-79.4668575749,8,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
40040176,2020-03-15,43.6478476215,-79.4899679934,12,,House Sparrow,Passer domesticus,家麻雀,Aves,13858
40048176,2020-03-15,43.6417823091,-79.4630585742,1,,Eastern Gray Squirrel,Sciurus carolinensis,东美松鼠,Mammalia,46017
40048177,2020-03-15,43.6417823091,-79.4630585742,1,,Eastern Gray Squirrel,Sciurus carolinensis,东美松鼠,Mammalia,46017
40057082,2020-03-15,43.6412064662,-79.4662654276,907,,House Sparrow,Passer domesticus,家麻雀,Aves,13858
40057083,2020-03-15,43.6412064662,-79.4662654276,907,,White-breasted Nuthatch,Sitta carolinensis,白胸䴓,Aves,14801
40057084,2020-03-15,43.6412064662,-79.4662654276,907,,Wood Duck,Aix sponsa,林鸳鸯,Aves,7107
40057088,2020-03-15,43.6412064662,-79.4662654276,907,,Eastern Gray Squirrel,Sciurus carolinensis,东美松鼠,Mammalia,46017
40057089,2020-03-15,43.6412064662,-79.4662654276,907,,Mallard,Anas platyrhynchos,绿头鸭,Aves,6930
40057090,2020-03-15,43.6412064662,-79.4662654276,907,,Northern Shoveler,Spatula clypeata,琵嘴鸭,Aves,558438
40057095,2020-03-15,43.6412064662,-79.4662654276,907,,Mallard,Anas platyrhynchos,绿头鸭,Aves,6930
40057096,2020-03-15,43.6412064662,-79.4662654276,907,,Mute Swan,Cygnus olor,疣鼻天鹅,Aves,6921
40057607,2020-03-15,43.6420762502,-79.4636904413,728,,Ring-billed Gull,Larus delawarensis,环嘴鸥,Aves,4364
40057608,2020-03-15,43.6420762502,-79.4636904413,728,,Northern Cardinal,Cardinalis cardinalis,北美红雀,Aves,9083
40057609,2020-03-15,43.6420762502,-79.4636904413,728,,Eastern Chipmunk,Tamias striatus,东美花鼠,Mammalia,46217
40057614,2020-03-15,43.6420762502,-79.4636904413,728,,Downy Woodpecker,Dryobates pubescens,绒啄木鸟,Aves,792988
40057615,2020-03-15,43.6420762502,-79.4636904413,728,,Red-winged Blackbird,Agelaius phoeniceus,红翅黑鹂,Aves,9744
40057623,2020-03-15,43.6420762502,-79.4636904413,728,,Wood Duck,Aix sponsa,林鸳鸯,Aves,7107
40057625,2020-03-15,43.6420762502,-79.4636904413,728,,Eastern Gray Squirrel,Sciurus carolinensis,东美松鼠,Mammalia,46017
40057629,2020-03-15,43.6420762502,-79.4636904413,728,,Eastern Gray Squirrel,Sciurus carolinensis,东美松鼠,Mammalia,46017
40057631,2020-03-15,43.6420762502,-79.4636904413,728,,Astur cooperii,Astur cooperii,库氏鹰,Aves,1579017
40086913,2020-03-16,43.6525502532,-79.474321215,23,,common snowdrop,Galanthus nivalis,雪滴花,Plantae,51606
40094384,2020-03-16,43.6459854385,-79.4680891988,2,,staghorn sumac,Rhus typhina,火炬树,Plantae,167829
40107822,2020-03-14,43.6362309034,-79.4826044759,15,,bull thistle,Cirsium vulgare,翼蓟,Plantae,52989
40107824,2020-03-14,43.6362244328,-79.4825830183,4,,ground-ivy,Glechoma hederacea,欧活血丹,Plantae,55830
40107828,2020-03-14,43.6363341113,-79.4785170415,15,,smooth brome,Bromus inermis,无芒雀麦,Plantae,75903
40107832,2020-03-14,43.6361996827,-79.4826314239,8,,Wood Avens,Geum urbanum,欧亚路边青,Plantae,55891
40151309,2020-03-17,43.6492237109,-79.4468909822,22,,Bartheletia paradoxa,Bartheletia paradoxa,,Fungi,624886
40201776,2020-03-18,43.6466380783,-79.4636902213,4208,,Domestic Duck,Anas platyrhynchos domesticus,家鸭,Aves,236935
40205422,2020-03-18,43.653175,-79.49075333,6,,Siberian squill,Scilla siberica,伏尔加蓝瑰花,Plantae,862704
40232497,2020-03-18,43.6481114608,-79.466929044,4,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
40232584,2020-03-18,43.643724378,-79.4675955429,2,,Wood Duck,Aix sponsa,林鸳鸯,Aves,7107
40250107,2020-03-19,43.6446806995,-79.4638363362,2208,,Red-winged Blackbird,Agelaius phoeniceus,红翅黑鹂,Aves,9744
40250347,2020-03-19,43.6483300228,-79.465138358,3180,,Northern Cardinal,Cardinalis cardinalis,北美红雀,Aves,9083
40250827,2020-03-19,43.64850111,-79.4705428835,32,,Mallard,Anas platyrhynchos,绿头鸭,Aves,6930
40251856,2020-03-19,43.6471864304,-79.4674636956,32,,Staghorn Sumac,Rhus typhina,火炬树,Plantae,167829
40252375,2020-03-19,43.6444066068,-79.4666235239,12,,Eastern White Pine,Pinus strobus,北美乔松,Plantae,52391
40252447,2020-03-19,43.6444873804,-79.4666379639,16,,American Red Squirrel,Tamiasciurus hudsonicus,北美红松鼠,Mammalia,46260
40252756,2020-03-19,43.6440796834,-79.466895236,24,,Eastern Gray Squirrel,Sciurus carolinensis,东美松鼠,Mammalia,46017
40275436,2020-02-02,43.64916167,-79.46497167,48,,black oak,Quercus velutina,美洲黑栎,Plantae,49006
40310327,2020-03-20,43.6437756311,-79.4678442169,8,,Pied-billed Grebe,Podilymbus podiceps,斑嘴巨䴙䴘,Aves,4246
40330034,2020-03-20,43.646487721,-79.4698974819,4,,Northern Shoveler,Spatula clypeata,琵嘴鸭,Aves,558438
40330112,2020-03-20,43.6466543243,-79.4696798612,4,,Yellow-bellied Slider,Trachemys scripta scripta,黄腹滑龟,Reptilia,39793
40333616,2020-03-20,43.6423465246,-79.4575006122,15,,Wood Duck,Aix sponsa,林鸳鸯,Aves,7107
40333617,2020-03-20,43.6442513074,-79.4600004308,15,,Great Horned Owl,Bubo virginianus,大雕鸮,Aves,20044
40333622,2020-03-20,43.6435889081,-79.4677627461,61,,Pied-billed Grebe,Podilymbus podiceps,斑嘴巨䴙䴘,Aves,4246
40361336,2020-03-19,43.646947729,-79.4604658814,694,,House Sparrow,Passer domesticus,家麻雀,Aves,13858
40521083,2020-03-21,43.6465478276,-79.4636902213,4208,,American Black Duck,Anas rubripes,北美黑鸭,Aves,6924
40541851,2020-03-22,43.647247649,-79.4686514297,15,,western poison ivy,Toxicodendron rydbergii,美西毒漆藤,Plantae,58729
40542177,2020-03-22,43.6461279851,-79.4681936294,4,,American Robin,Turdus migratorius,旅鸫,Aves,12727
40647460,2020-03-24,43.641612491,-79.4899775079,311,,Mallard,Anas platyrhynchos,绿头鸭,Aves,6930
40651202,2020-03-24,43.6494285959,-79.4470383175,65,,tree-of-heaven,Ailanthus altissima,臭椿,Plantae,57278
40667668,2020-03-24,43.6470744702,-79.4671012351,2,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
40678565,2020-03-24,43.649362,-79.4469957,16,,American Robin,Turdus migratorius,旅鸫,Aves,12727
40717129,2020-03-25,43.6488656744,-79.4693963816,8,,Hermit Thrush,Catharus guttatus,隐夜鸫,Aves,12890
40717369,2020-03-25,43.644193599,-79.4678280404,2,,Downy Woodpecker,Dryobates pubescens,绒啄木鸟,Aves,792988
40717455,2020-03-25,43.6441213832,-79.4675809631,4,,American Robin,Turdus migratorius,旅鸫,Aves,12727
40717647,2020-03-25,43.6469109373,-79.470029991,15,,Canada Goose,Branta canadensis,加拿大雁,Aves,7089
40717843,2020-03-25,43.6464526379,-79.4677496784,15,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
40730255,2020-03-25,43.6438766667,-79.4676633333,30,,Red-winged Blackbird,Agelaius phoeniceus,红翅黑鹂,Aves,9744
40730256,2020-03-25,43.6487366667,-79.46924,30,,American Robin,Turdus migratorius,旅鸫,Aves,12727
40730257,2020-03-25,43.649195,-79.4704283333,30,,Wood Duck,Aix sponsa,林鸳鸯,Aves,7107
40730260,2020-03-25,43.6492416667,-79.4704883333,30,,Wood Duck,Aix sponsa,林鸳鸯,Aves,7107
40730262,2020-03-25,43.6499783333,-79.469915,30,,Wood Duck,Aix sponsa,林鸳鸯,Aves,7107
40784335,2020-03-26,43.6485097,-79.4464852,17,,Dark-eyed Junco,Junco hyemalis,暗眼灯草鹀,Aves,10094
40830489,2020-03-27,43.6519883333,-79.46605,,,Eastern Gray Squirrel,Sciurus carolinensis,东美松鼠,Mammalia,46017
40831246,2020-03-27,43.6516283333,-79.46553,,,American Robin,Turdus migratorius,旅鸫,Aves,12727
40844313,2020-03-27,43.6478957235,-79.465595134,8,,Brown Creeper,Certhia americana,美洲旋木雀,Aves,7458
40912931,2020-03-24,43.6412360372,-79.4697174064,75,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
40912941,2020-03-27,43.6411863011,-79.4706826137,10,,Muskrat,Ondatra zibethicus,麝鼠,Mammalia,45763
40912947,2020-03-27,43.6411863011,-79.4706826137,10,,American Beaver,Castor canadensis,北美河貍,Mammalia,43794
40915891,2020-03-28,43.6446055904,-79.4693361185,31,,Pied-billed Grebe,Podilymbus podiceps,斑嘴巨䴙䴘,Aves,4246
40977260,2020-03-29,43.6485065364,-79.4688339842,227,,Vintergäck,Eranthis hyemalis,冬菟葵,Plantae,56871
40990540,2020-03-29,43.6456869382,-79.4698864486,15,,Pied-billed Grebe,Podilymbus podiceps,斑嘴巨䴙䴘,Aves,4246
40994261,2020-03-29,43.6512759624,-79.4671577987,4,,Redshank,Ceratodon purpureus,角齿藓,Plantae,123117
41008458,2020-03-29,43.6420634132,-79.4719335068,30,,eastern skunk cabbage,Symplocarpus foetidus,北美臭菘,Plantae,48961
41009002,2020-03-29,43.64114667,-79.470245,13,,garlic mustard,Alliaria petiolata,葱芥,Plantae,56061
41022934,2020-03-30,43.6494820568,-79.4471846546,65,,Immigrant Pavement Ant,Tetramorium immigrans,移居铺道蚁,Insecta,569552
41047220,2020-03-30,43.6494937364,-79.4470479083,65,,Attagenus brunneus,Attagenus brunneus,,Insecta,214601
41060080,2020-03-07,43.6528575297,-79.4624785334,72,,Ceruchus piceus,Ceruchus piceus,北美铠锹,Insecta,216534
41060151,2020-03-07,43.6527437576,-79.4629593194,276,,Fitchia aptera,Fitchia aptera,,Insecta,479094
41060259,2020-03-07,43.6526731655,-79.4637435302,271,,Leopard Slug,Limax maximus,大蛞蝓 (豹纹蛞蝓),Mollusca,62470
41060290,2020-03-07,43.6529460728,-79.4633572921,138,,Draparnaud's Glass Snail,Oxychilus draparnaudi,德氏锐唇螺,Mollusca,226720
41060347,2020-03-07,43.653081677,-79.4616084918,95,,Bald-faced Hornet,Dolichovespula maculata,白脸长黄胡蜂,Insecta,52911
41060388,2020-03-07,43.6528077999,-79.4630904123,230,,Red-headed Ground Beetle,Amphasia interstitialis,,Insecta,213450
41060519,2020-03-07,43.6526942703,-79.4633123651,105,,Rathke's Woodlouse,Trachelipus rathkii,快捷气肢虫,Animalia,203479
41060569,2020-03-07,43.6533999454,-79.4614847749,228,,Brickwork Woodlouse,Porcellio spinicornis,,Animalia,130169
41069462,2020-03-30,43.6483185282,-79.4686927379,15,,Golden-crowned Kinglet,Regulus satrapa,金冠戴菊,Aves,117100
41073778,2020-03-30,43.6463284349,-79.468352929,15,,eastern cottonwood,Populus deltoides,美洲黑杨,Plantae,52119
41077200,2020-03-27,43.63598667,-79.47512833,6,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
41102056,2020-03-29,43.651484833,-79.4873814281,151,,Western Honey Bee,Apis mellifera,西方蜜蜂,Insecta,47219
41136657,2020-03-31,43.6489784873,-79.4688680028,8,,Black-capped Chickadee,Poecile atricapillus,黑顶山雀,Aves,144815
41136746,2020-03-31,43.6434853957,-79.4688725407,15,,Double-crested Cormorant,Nannopterum auritum,双冠鸬鹚,Aves,1454382
41136812,2020-03-31,43.6432428541,-79.4685949002,61,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
41136871,2020-03-31,43.643730669,-79.4674962097,4,,Red-winged Blackbird,Agelaius phoeniceus,红翅黑鹂,Aves,9744
41136949,2020-03-31,43.6445701195,-79.4684075213,15,,Song Sparrow,Melospiza melodia,歌带鹀,Aves,9100
41137013,2020-03-31,43.6481064071,-79.4709894269,4,,Muskrat,Ondatra zibethicus,麝鼠,Mammalia,45763
41137149,2020-03-31,43.6436183961,-79.4674764205,2,,Common Grackle,Quiscalus quiscula,紫拟掠鸟,Aves,9602
41191582,2020-04-01,43.6454585309,-79.469779932,15,,Pied-billed Grebe,Podilymbus podiceps,斑嘴巨䴙䴘,Aves,4246
41191770,2020-04-01,43.6464408914,-79.4681587352,4,,Gypsy Moth,Lymantria dispar,舞毒蛾,Insecta,47802
41192005,2020-04-01,43.6463325741,-79.4681769238,8,,black cherry,Prunus serotina,野黑樱,Plantae,54834
41192291,2020-04-01,43.646810181,-79.4697398156,15,,Yellow-bellied Slider,Trachemys scripta scripta,黄腹滑龟,Reptilia,39793
41203732,2020-04-01,43.6378398746,-79.4664970307,395,,Red-winged Blackbird,Agelaius phoeniceus,红翅黑鹂,Aves,9744
41207225,2020-04-01,43.6382123172,-79.4662773483,99,,Canard colvert,Anas platyrhynchos,绿头鸭,Aves,6930
41239384,2020-04-02,43.64162434,-79.47073731,5,,Siberian squill,Scilla siberica,伏尔加蓝瑰花,Plantae,862704
41256754,2020-03-31,43.6420533333,-79.46212,,,American Red Squirrel,Tamiasciurus hudsonicus,北美红松鼠,Mammalia,46260
41264710,2020-04-02,43.6490687312,-79.4706629589,80,,Wood Duck,Aix sponsa,林鸳鸯,Aves,7107
41289840,2020-04-02,43.6468598293,-79.4681000488,2,,Black-capped Chickadee,Poecile atricapillus,黑顶山雀,Aves,144815
41289874,2020-04-02,43.6456857208,-79.4697619724,15,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
41289928,2020-04-02,43.6474485435,-79.4700604644,4,,Muskrat,Ondatra zibethicus,麝鼠,Mammalia,45763
41298005,2020-04-03,43.641932,-79.468886,50,,Half-wing Moth,Phigalia titea,,Insecta,209713
41298006,2020-04-03,43.641932,-79.468886,50,,Grote's Pinion Moth,Lithophane grotei,,Insecta,223984
41298007,2020-04-03,43.641932,-79.468886,50,,Speckled Green Fruitworm Moth,Orthosia hibisci,,Insecta,226646
41298014,2020-04-03,43.641932,-79.468886,50,,Bethune's Pinion Moth,Lithophane bethunei,,Insecta,223979
41314864,2020-04-03,43.641932,-79.468886,50,,Ashen Pinion Moth,Lithophane antennata,,Insecta,223978
41321446,2020-04-03,43.653548,-79.4913591944,,,Siberian squill,Scilla siberica,伏尔加蓝瑰花,Plantae,862704
41323779,2020-04-02,43.6432910235,-79.4563061819,25,,Red-bellied Woodpecker,Melanerpes carolinus,红腹啄木鸟,Aves,18205
41324049,2020-04-02,43.6420604249,-79.4562337589,23,,White-breasted Nuthatch,Sitta carolinensis,白胸䴓,Aves,14801
41324974,2020-04-02,43.6423668607,-79.4564059468,25,,Brown Creeper,Certhia americana,美洲旋木雀,Aves,7458
41325792,2020-04-02,43.6423923388,-79.4564456535,24,,Downy Woodpecker,Dryobates pubescens,绒啄木鸟,Aves,792988
41369597,2020-04-03,43.6471278028,-79.4699317984,8,,Muskrat,Ondatra zibethicus,麝鼠,Mammalia,45763
41369782,2020-04-03,43.6439653576,-79.4686199559,15,,Pied-billed Grebe,Podilymbus podiceps,斑嘴巨䴙䴘,Aves,4246
41370111,2020-04-03,43.649700787,-79.4690785422,8,,Hermit Thrush,Catharus guttatus,隐夜鸫,Aves,12890
41386720,2020-04-04,43.6492162437,-79.4470432539,8,,Blue Jay,Cyanocitta cristata,冠蓝鸦,Aves,8229
41437251,2020-04-05,43.6484212612,-79.4614218606,178,,eastern skunk cabbage,Symplocarpus foetidus,北美臭菘,Plantae,48961
41455847,2020-04-05,43.63511615,-79.48201144,6,,eastern redcedar,Juniperus virginiana,北美圆柏,Plantae,49399
41456370,2020-04-05,43.63548322,-79.48152486,7,,fortune's spindle,Euonymus fortunei,扶芳藤,Plantae,130893
41460128,2020-04-04,43.6494015175,-79.4691602131,8,,Grivette solitaire,Catharus guttatus,隐夜鸫,Aves,12890
41460340,2020-04-04,43.6467498243,-79.4699231332,4,,Muskrat,Ondatra zibethicus,麝鼠,Mammalia,45763
41467399,2020-04-05,43.6549709002,-79.463497277,24,,Asian Lady Beetle,Harmonia axyridis,异色瓢虫,Insecta,48484
41480627,2020-04-05,43.6471808027,-79.4685280643,4,,Winter Wren,Troglodytes hiemalis,冬鹪鹩,Aves,144883
41480893,2020-04-05,43.6462699475,-79.4680946605,4,,Unequal Cellophane Bee,Colletes inaequalis,,Insecta,199041
41492808,2020-04-05,43.6512031394,-79.4693377892,32,,fortune's spindle,Euonymus fortunei,扶芳藤,Plantae,130893
41524380,2020-04-05,43.6461134999,-79.4679663703,15,,Aerial Yellowjackets,Dolichovespula,长黄胡蜂属,Insecta,52912
41531463,2020-04-06,43.64200333,-79.47945333,16,,American Goldfinch,Spinus tristis,北美金翅雀,Aves,145310
41535103,2020-04-06,43.65312795,-79.49049614,9,,Siberian squill,Scilla siberica,伏尔加蓝瑰花,Plantae,862704
41540002,2020-04-06,43.649319,-79.458804,135,,Eastern Red-backed Salamander,Plethodon cinereus,灰红背无肺螈,Amphibia,27186
41540070,2020-04-06,43.6488134865,-79.4589833059,99,,Common Shiny Woodlouse,Oniscus asellus,栉潮虫,Animalia,48284
41540193,2020-04-06,43.649533,-79.458686,40,,Isabella Tiger Moth,Pyrrharctia isabella,,Insecta,59675
41540360,2020-04-06,43.649427,-79.45877,53,,Long-stalked Sedge,Carex pedunculata,,Plantae,160059
41540495,2020-04-06,43.648641,-79.460082,26,,Colt's-Foot,Tussilago farfara,款冬,Plantae,56222
41543609,2020-04-06,43.6483413006,-79.4622779003,120,,alternate-leaved dogwood,Cornus alternifolia,,Plantae,54775
41543701,2020-04-06,43.6529230964,-79.4617023373,117,,common selfheal,Prunella vulgaris,夏枯草,Plantae,52764
41543940,2020-04-06,43.6529017223,-79.4626543191,102,,orange day-lily,Hemerocallis fulva,萱草,Plantae,126583
41544011,2020-04-06,43.6489574077,-79.4690821283,92,,black oak,Quercus velutina,美洲黑栎,Plantae,49006
41544147,2020-04-06,43.6484976931,-79.4692259241,100,,red pine,Pinus resinosa,多脂松,Plantae,52383
41544366,2020-04-06,43.6441237355,-79.4594237081,129,,beaked hazelnut,Corylus cornuta,長喙榛,Plantae,53374
41544542,2020-04-06,43.6439690579,-79.459353378,111,,Downy Woodpecker,Dryobates pubescens,绒啄木鸟,Aves,792988
41547230,2020-04-06,43.6507211155,-79.4629930299,8,,American Goldfinch,Spinus tristis,北美金翅雀,Aves,145310
